abstract,title,author,year,category,id
"  This paper deals with robust optimization applied to network flows. Two
robust variants of the minimum-cost integer flow problem are considered.
Thereby, uncertainty in problem formulation is limited to arc unit costs and
expressed by a finite set of explicitly given scenarios. It is shown that both
problem variants are NP-hard. To solve the considered variants, several
heuristics based on local search or evolutionary computing are proposed. The
heuristics are experimentally evaluated on appropriate problem instances.
","Heuristic solutions to robust variants of the minimum-cost integer flow
  problem","Marko \v{S}poljarec, Robert Manger",2020,Artificial Intelligence,
"  Humans as designers have quite versatile problem-solving strategies. Computer
agents on the other hand can access large scale computational resources to
solve certain design problems. Hence, if agents can learn from human behavior,
a synergetic human-agent problem solving team can be created. This paper
presents an approach to extract human design strategies and implicit rules,
purely from historical human data, and use that for design generation. A
two-step framework that learns to imitate human design strategies from
observation is proposed and implemented. This framework makes use of deep
learning constructs to learn to generate designs without any explicit
information about objective and performance metrics. The framework is designed
to interact with the problem through a visual interface as humans did when
solving the problem. It is trained to imitate a set of human designers by
observing their design state sequences without inducing problem-specific
modelling bias or extra information about the problem. Furthermore, an
end-to-end agent is developed that uses this deep learning framework as its
core in conjunction with image processing to map pixel-to-design moves as a
mechanism to generate designs. Finally, the designs generated by a
computational team of these agents are then compared to actual human data for
teams solving a truss design problem. Results demonstrates that these agents
are able to create feasible and efficient truss designs without guidance,
showing that this methodology allows agents to learn effective design
strategies.
","Learning to design from humans: Imitating human designers through deep
  learning","Ayush Raina, Christopher McComb and Jonathan Cagan",2019,Artificial Intelligence,
"  This paper is the preprint of an invited commentary on Lake et al's
Behavioral and Brain Sciences article titled ""Building machines that learn and
think like people"". Lake et al's paper offers a timely critique on the recent
accomplishments in artificial intelligence from the vantage point of human
intelligence, and provides insightful suggestions about research directions for
building more human-like intelligence. Since we agree with most of the points
raised in that paper, we will offer a few points that are complementary.
",What can the brain teach us about building artificial intelligence?,Dileep George,2017,Artificial Intelligence,
"  Over the last year, the amount of research in hierarchical planning has
increased, leading to significant improvements in the performance of planners.
However, the research is diverging and planners are somewhat hard to compare
against each other. This is mostly caused by the fact that there is no standard
set of benchmark domains, nor even a common description language for
hierarchical planning problems. As a consequence, the available planners
support a widely varying set of features and (almost) none of them can solve
(or even parse) any problem developed for another planner. With this paper, we
propose to create a new track for the IPC in which hierarchical planners will
compete. This competition will result in a standardised description language,
broader support for core features of that language among planners, a set of
benchmark problems, a means to fairly and objectively compare HTN planners, and
for new challenges for planners.
",Hierarchical Planning in the IPC,"D. H\""oller, G. Behnke, P. Bercher, S. Biundo, H. Fiorino, D. Pellier,
  R. Alford",2019,Artificial Intelligence,
"  This paper introduces Strict Partial Order Networks (SPON), a novel neural
network architecture designed to enforce asymmetry and transitive properties as
soft constraints. We apply it to induce hypernymy relations by training with
is-a pairs. We also present an augmented variant of SPON that can generalize
type information learned for in-vocabulary terms to previously unseen ones. An
extensive evaluation over eleven benchmarks across different tasks shows that
SPON consistently either outperforms or attains the state of the art on all but
one of these benchmarks.
",Hypernym Detection Using Strict Partial Order Networks,"Sarthak Dash, Md Faisal Mahbub Chowdhury, Alfio Gliozzo, Nandana
  Mihindukulasooriya, Nicolas Rodolfo Fauceglia",2020,Artificial Intelligence,
"  Active inference is a first principle account of how autonomous agents
operate in dynamic, non-stationary environments. This problem is also
considered in reinforcement learning (RL), but limited work exists on comparing
the two approaches on the same discrete-state environments. In this paper, we
provide: 1) an accessible overview of the discrete-state formulation of active
inference, highlighting natural behaviors in active inference that are
generally engineered in RL; 2) an explicit discrete-state comparison between
active inference and RL on an OpenAI gym baseline. We begin by providing a
condensed overview of the active inference literature, in particular viewing
the various natural behaviors of active inference agents through the lens of
RL. We show that by operating in a pure belief-based setting, active inference
agents can carry out epistemic exploration, and account for uncertainty about
their environment in a Bayes-optimal fashion. Furthermore, we show that the
reliance on an explicit reward signal in RL is removed in active inference,
where reward can simply be treated as another observation; even in the total
absence of rewards, agent behaviors are learned through preference learning. We
make these properties explicit by showing two scenarios in which active
inference agents can infer behaviors in reward-free environments compared to
both Q-learning and Bayesian model-based RL agents; by placing zero prior
preferences over rewards and by learning the prior preferences over the
observations corresponding to reward. We conclude by noting that this formalism
can be applied to more complex settings if appropriate generative models can be
formulated. In short, we aim to demystify the behavior of active inference
agents by presenting an accessible discrete state-space and time formulation,
and demonstrate these behaviors in a OpenAI gym environment, alongside RL
agents.
",Active inference: demystified and compared,"Noor Sajid, Philip J. Ball, Thomas Parr, Karl J. Friston",2021,Artificial Intelligence,
"  We present ""AutoJudge"", an automated evaluation method for conversational
dialogue systems. The method works by first generating dialogues based on
self-talk, i.e. dialogue systems talking to itself. Then, it uses human ratings
on these dialogues to train an automated judgement model. Our experiments show
that AutoJudge correlates well with the human ratings and can be used to
automatically evaluate dialogue systems, even in deployed systems. In a second
part, we attempt to apply AutoJudge to improve existing systems. This works
well for re-ranking a set of candidate utterances. However, our experiments
show that AutoJudge cannot be applied as reward for reinforcement learning,
although the metric can distinguish good from bad dialogues. We discuss
potential reasons, but state here already that this is still an open question
for further research.
","Towards a Metric for Automated Conversational Dialogue System Evaluation
  and Improvement","Jan Deriu, Mark Cieliebak",2019,Artificial Intelligence,
"  Dense urban traffic environments can produce situations where accurate
prediction and dynamic models are insufficient for successful autonomous
vehicle motion planning. We investigate how an autonomous agent can safely
negotiate with other traffic participants, enabling the agent to handle
potential deadlocks. Specifically we consider merges where the gap between cars
is smaller than the size of the ego vehicle. We propose a game theoretic
framework capable of generating and responding to interactive behaviors. Our
main contribution is to show how game-tree decision making can be executed by
an autonomous vehicle, including approximations and reasoning that make the
tree-search computationally tractable. Additionally, to test our model we
develop a stochastic rule-based traffic agent capable of generating interactive
behaviors that can be used as a benchmark for simulating traffic participants
in a crowded merge setting.
",Interactive Decision Making for Autonomous Vehicles in Dense Traffic,David Isele,2019,Artificial Intelligence,
"  In a multi-agent setting, the optimal policy of a single agent is largely
dependent on the behavior of other agents. We investigate the problem of
multi-agent reinforcement learning, focusing on decentralized learning in
non-stationary domains for mobile robot navigation. We identify a cause for the
difficulty in training non-stationary policies: mutual adaptation to
sub-optimal behaviors, and we use this to motivate a curriculum-based strategy
for learning interactive policies. The curriculum has two stages. First, the
agent leverages policy gradient algorithms to learn a policy that is capable of
achieving multiple goals. Second, the agent learns a modifier policy to learn
how to interact with other agents in a multi-agent setting. We evaluated our
approach on both an autonomous driving lane-change domain and a robot
navigation domain.
","Interaction-Aware Multi-Agent Reinforcement Learning for Mobile Agents
  with Individual Goals","Anahita Mohseni-Kabir, David Isele, and Kikuo Fujimura",2019,Artificial Intelligence,
"  Robotic navigation through crowds or herds requires the ability to both
predict the future motion of nearby individuals and understand how these
predictions might change in response to a robot's future action. State of the
art trajectory prediction models using Recurrent Neural Networks (RNNs) do not
currently account for a planned future action of a robot, and so cannot predict
how an individual will move in response to a robot's planned path. We propose
an approach that adapts RNNs to use a robot's next planned action as an input
alongside the current position of nearby individuals. This allows the model to
learn the response of individuals with regards to a robot's motion from real
world observations. By linking a robot's actions to the response of those
around it in training, we show that we are able to not only improve prediction
accuracy in close range interactions, but also to predict the likely response
of surrounding individuals to simulated actions. This allows the use of the
model to simulate state transitions, without requiring any assumptions on agent
interaction. We apply this model to varied datasets, including crowds of
pedestrians interacting with vehicles and bicycles, and livestock interacting
with a robotic vehicle.
","Predicting Responses to a Robot's Future Motion using Generative
  Recurrent Neural Networks",Stuart Eiffert and Salah Sukkarieh,2019,Artificial Intelligence,
"  Often, when modeling human decision-making behaviors in the context of
human-robot teaming, the emotion aspect of human is ignored. Nevertheless, the
influence of emotion, in some cases, is not only undeniable but beneficial.
This work studies the human-like characteristics brought by regret emotion in
one-human-multi-robot teaming for the application of domain search. In such
application, the task management load is outsourced to the robots to reduce the
human's workload, freeing the human to do more important work. The regret
decision model is first used by each robot for deciding whether to request
human service, then is extended for optimally queuing the requests from
multiple robots. For the movement of the robots in the domain search, we
designed a path planning algorithm based on dynamic programming for each robot.
The simulation shows that the human-like characteristics, namely, risk-seeking
and risk-aversion, indeed bring some appealing effects for balancing the
workload and performance in the human-multi-robot team.
","Respect Your Emotion: Human-Multi-Robot Teaming based on Regret Decision
  Model","Longsheng Jiang, Yue Wang",2019,Artificial Intelligence,
"  Combining neural networks with continuous logic and multicriteria decision
making tools can reduce the black box nature of neural models. In this study,
we show that nilpotent logical systems offer an appropriate mathematical
framework for a hybridization of continuous nilpotent logic and neural models,
helping to improve the interpretability and safety of machine learning. In our
concept, perceptrons model soft inequalities; namely membership functions and
continuous logical operators. We design the network architecture before
training, using continuous logical operators and multicriteria decision tools
with given weights working in the hidden layers. Designing the structure
appropriately leads to a drastic reduction in the number of parameters to be
learned. The theoretical basis offers a straightforward choice of activation
functions (the cutting function or its differentiable approximation, the
squashing function), and also suggests an explanation to the great success of
the rectified linear unit (ReLU). In this study, we focus on the architecture
of a hybrid model and introduce the building blocks for future application in
deep neural networks. The concept is illustrated with some toy examples taken
from an extended version of the tensorflow playground.
","Interpretable neural networks based on continuous-valued logic and
  multicriteria decision operators","Orsolya Csisz\'ar, G\'abor Csisz\'ar, J\'ozsef Dombi",2020,Artificial Intelligence,
"  Legg and Hutter, as well as subsequent authors, considered intelligent agents
through the lens of interaction with reward-giving environments, attempting to
assign numeric intelligence measures to such agents, with the guiding principle
that a more intelligent agent should gain higher rewards from environments in
some aggregate sense. In this paper, we consider a related question: rather
than measure numeric intelligence of one Legg- Hutter agent, how can we compare
the relative intelligence of two Legg-Hutter agents? We propose an elegant
answer based on the following insight: we can view Legg-Hutter agents as
candidates in an election, whose voters are environments, letting each
environment vote (via its rewards) which agent (if either) is more intelligent.
This leads to an abstract family of comparators simple enough that we can prove
some structural theorems about them. It is an open question whether these
structural theorems apply to more practical intelligence measures.
","Intelligence via ultrafilters: structural properties of some
  intelligence comparators of deterministic Legg-Hutter agents",Samuel Allen Alexander,2019,Artificial Intelligence,
"  Using neural networks in the reinforcement learning (RL) framework has
achieved notable successes. Yet, neural networks tend to forget what they
learned in the past, especially when they learn online and fully incrementally,
a setting in which the weights are updated after each sample is received and
the sample is then discarded. Under this setting, an update can lead to overly
global generalization by changing too many weights. The global generalization
interferes with what was previously learned and deteriorates performance, a
phenomenon known as catastrophic interference. Many previous works use
mechanisms such as experience replay (ER) buffers to mitigate interference by
performing minibatch updates, ensuring the data distribution is approximately
independent-and-identically-distributed (i.i.d.). But using ER would become
infeasible in terms of memory as problem complexity increases. Thus, it is
crucial to look for more memory-efficient alternatives. Interference can be
averted if we replace global updates with more local ones, so only weights
responsible for the observed data sample are updated. In this work, we propose
the use of dynamic self-organizing map (DSOM) with neural networks to induce
such locality in the updates without ER buffers. Our method learns a DSOM to
produce a mask to reweigh each hidden unit's output, modulating its degree of
use. It prevents interference by replacing global updates with local ones,
conditioned on the agent's state. We validate our method on standard RL
benchmarks including Mountain Car and Lunar Lander, where existing methods
often fail to learn without ER. Empirically, we show that our online and fully
incremental method is on par with and in some cases, better than
state-of-the-art in terms of final performance and learning speed. We provide
visualizations and quantitative measures to show that our method indeed
mitigates interference.
","Overcoming Catastrophic Interference in Online Reinforcement Learning
  with Dynamic Self-Organizing Maps",Yat Long Lo and Sina Ghiassian,2019,Artificial Intelligence,
"  The fourth edition of the international workshop on Causation, Responsibility
and Explanation took place in Prague (Czech Republic) as part of ETAPS 2019.
The program consisted in 5 invited speakers and 4 regular papers, whose
selection was based on a careful reviewing process and that are included in
these proceedings.
","Proceedings of the 4th Workshop on Formal Reasoning about Causation,
  Responsibility, and Explanations in Science and Technology","Georgiana Caltais (Konstanz University), Jean Krivine (CNRS)",2019,Artificial Intelligence,
"  Information retrieval (IR) systems need to constantly update their knowledge
as target objects and user queries change over time. Due to the power-law
nature of linguistic data, learning lexical concepts is a problem resisting
standard machine learning approaches: while manual intervention is always
possible, a more general and automated solution is desirable. In this work, we
propose a novel end-to-end framework that models the interaction between a
search engine and users as a virtuous human-in-the-loop inference. The proposed
framework is the first to our knowledge combining ideas from psycholinguistics
and experiment design to maximize efficiency in IR. We provide a brief overview
of the main components and initial simulations in a toy world, showing how
inference works end-to-end and discussing preliminary results and next steps.
","Lexical Learning as an Online Optimal Experiment: Building Efficient
  Search Engines through Human-Machine Collaboration","Jacopo Tagliabue, Reuben Cohn-Gordon",2019,Artificial Intelligence,
"  The Shapes Constraint Language (SHACL) has been recently introduced as a W3C
recommendation to define constraints that can be validated against RDF graphs.
Interactions of SHACL with other Semantic Web technologies, such as ontologies
or reasoners, is a matter of ongoing research. In this paper we study the
interaction of a subset of SHACL with inference rules expressed in datalog. On
the one hand, SHACL constraints can be used to define a ""schema"" for graph
datasets. On the other hand, inference rules can lead to the discovery of new
facts that do not match the original schema. Given a set of SHACL constraints
and a set of datalog rules, we present a method to detect which constraints
could be violated by the application of the inference rules on some graph
instance of the schema, and update the original schema, i.e, the set of SHACL
constraints, in order to capture the new facts that can be inferred. We provide
theoretical and experimental results of the various components of our approach.
",SHACL Constraints with Inference Rules,"Paolo Pareti, George Konstantinidis, Timothy J. Norman, Murat
  \c{S}ensoy",2019,Artificial Intelligence,
"  The debate on AI ethics largely focuses on technical improvements and
stronger regulation to prevent accidents or misuse of AI, with solutions
relying on holding individual actors accountable for responsible AI
development. While useful and necessary, we argue that this ""agency"" approach
disregards more indirect and complex risks resulting from AI's interaction with
the socio-economic and political context. This paper calls for a ""structural""
approach to assessing AI's effects in order to understand and prevent such
systemic risks where no individual can be held accountable for the broader
negative impacts. This is particularly relevant for AI applied to systemic
issues such as climate change and food security which require political
solutions and global cooperation. To properly address the wide range of AI
risks and ensure 'AI for social good', agency-focused policies must be
complemented by policies informed by a structural approach.
",AI Ethics for Systemic Issues: A Structural Approach,"Agnes Schim van der Loeff, Iggy Bassi, Sachin Kapila, Jevgenij Gamper",2019,Artificial Intelligence,
"  In level co-creation an AI and human work together to create a video game
level. One open challenge in level co-creation is how to empower human users to
ensure particular qualities of the final level, such as challenge. There has
been significant prior research into automated pathing and automated
playtesting for video game levels, but not in how to incorporate these into
tools. In this demonstration we present an improvement of the Morai Maker
mixed-initiative level editor for Super Mario Bros. that includes automated
pathing and challenge approximation features.
",Integrating Automated Play in Level Co-Creation,"Andrew Hoyt, Matthew Guzdial, Yalini Kumar, Gillian Smith, and Mark O.
  Riedl",2019,Artificial Intelligence,
"  Recent superhuman results in games have largely been achieved in a variety of
zero-sum settings, such as Go and Poker, in which agents need to compete
against others. However, just like humans, real-world AI systems have to
coordinate and communicate with other agents in cooperative partially
observable environments as well. These settings commonly require participants
to both interpret the actions of others and to act in a way that is informative
when being interpreted. Those abilities are typically summarized as theory f
mind and are seen as crucial for social interactions. In this paper we propose
two different search techniques that can be applied to improve an arbitrary
agreed-upon policy in a cooperative partially observable game. The first one,
single-agent search, effectively converts the problem into a single agent
setting by making all but one of the agents play according to the agreed-upon
policy. In contrast, in multi-agent search all agents carry out the same
common-knowledge search procedure whenever doing so is computationally
feasible, and fall back to playing according to the agreed-upon policy
otherwise. We prove that these search procedures are theoretically guaranteed
to at least maintain the original performance of the agreed-upon policy (up to
a bounded approximation error). In the benchmark challenge problem of Hanabi,
our search technique greatly improves the performance of every agent we tested
and when applied to a policy trained using RL achieves a new state-of-the-art
score of 24.61 / 25 in the game, compared to a previous-best of 24.08 / 25.
",Improving Policies via Search in Cooperative Partially Observable Games,"Adam Lerer, Hengyuan Hu, Jakob Foerster, Noam Brown",2020,Artificial Intelligence,
"  SUMMARY: Recently, novel machine-learning algorithms have shown potential for
predicting undiscovered links in biomedical knowledge networks. However,
dedicated benchmarks for measuring algorithmic progress have not yet emerged.
With OpenBioLink, we introduce a large-scale, high-quality and highly
challenging biomedical link prediction benchmark to transparently and
reproducibly evaluate such algorithms. Furthermore, we present preliminary
baseline evaluation results. AVAILABILITY AND IMPLEMENTATION: Source code, data
and supplementary files are openly available at
https://github.com/OpenBioLink/OpenBioLink CONTACT: matthias.samwald ((at))
meduniwien.ac.at
","OpenBioLink: A benchmarking framework for large-scale biomedical link
  prediction","Anna Breit, Simon Ott, Asan Agibetov, Matthias Samwald",2020,Artificial Intelligence,
"  The main goal of this paper is to describe an axiomatic utility theory for
Dempster-Shafer belief function lotteries. The axiomatic framework used is
analogous to von Neumann-Morgenstern's utility theory for probabilistic
lotteries as described by Luce and Raiffa. Unlike the probabilistic case, our
axiomatic framework leads to interval-valued utilities, and therefore, to a
partial (incomplete) preference order on the set of all belief function
lotteries. If the belief function reference lotteries we use are Bayesian
belief functions, then our representation theorem coincides with Jaffray's
representation theorem for his linear utility theory for belief functions. We
illustrate our representation theorem using some examples discussed in the
literature, and we propose a simple model for assessing utilities based on an
interval-valued pessimism index representing a decision-maker's attitude to
ambiguity and indeterminacy. Finally, we compare our decision theory with those
proposed by Jaffray, Smets, Dubois et al., Giang and Shenoy, and Shafer.
","An Interval-Valued Utility Theory for Decision Making with
  Dempster-Shafer Belief Functions",Thierry Denoeux and Prakash P. Shenoy,2020,Artificial Intelligence,
"  Counterfactual Thinking is a human cognitive ability studied in a wide
variety of domains. It captures the process of reasoning about a past event
that did not occur, namely what would have happened had this event occurred,
or, otherwise, to reason about an event that did occur but what would ensue had
it not. Given the wide cognitive empowerment of counterfactual reasoning in the
human individual, the question arises of how the presence of individuals with
this capability may improve cooperation in populations of self-regarding
individuals. Here we propose a mathematical model, grounded on Evolutionary
Game Theory, to examine the population dynamics emerging from the interplay
between counterfactual thinking and social learning (i.e., individuals that
learn from the actions and success of others) whenever the individuals in the
population face a collective dilemma. Our results suggest that counterfactual
reasoning fosters coordination in collective action problems occurring in large
populations, and has a limited impact on cooperation dilemmas in which
coordination is not required. Moreover, we show that a small prevalence of
individuals resorting to counterfactual thinking is enough to nudge an entire
population towards highly cooperative standards.
",Counterfactual thinking in cooperation dynamics,Luis Moniz Pereira and Francisco C. Santos,2019,Artificial Intelligence,
"  Recent work on fairness in machine learning has primarily emphasized how to
define, quantify, and encourage ""fair"" outcomes. Less attention has been paid,
however, to the ethical foundations which underlie such efforts. Among the
ethical perspectives that should be taken into consideration is
consequentialism, the position that, roughly speaking, outcomes are all that
matter. Although consequentialism is not free from difficulties, and although
it does not necessarily provide a tractable way of choosing actions (because of
the combined problems of uncertainty, subjectivity, and aggregation), it
nevertheless provides a powerful foundation from which to critique the existing
literature on machine learning fairness. Moreover, it brings to the fore some
of the tradeoffs involved, including the problem of who counts, the pros and
cons of using a policy, and the relative value of the distant future. In this
paper we provide a consequentialist critique of common definitions of fairness
within machine learning, as well as a machine learning perspective on
consequentialism. We conclude with a broader discussion of the issues of
learning and randomization, which have important implications for the ethics of
automated decision making systems.
",On Consequentialism and Fairness,Dallas Card and Noah A. Smith,2020,Artificial Intelligence,
"  The wide adoption of machine learning in the critical domains such as medical
diagnosis, law, education had propelled the need for interpretable techniques
due to the need for end users to understand the reasoning behind decisions due
to learning systems. The computational intractability of interpretable learning
led practitioners to design heuristic techniques, which fail to provide sound
handles to tradeoff accuracy and interpretability.
  Motivated by the success of MaxSAT solvers over the past decade, recently
MaxSAT-based approach, called MLIC, was proposed that seeks to reduce the
problem of learning interpretable rules expressed in Conjunctive Normal Form
(CNF) to a MaxSAT query. While MLIC was shown to achieve accuracy similar to
that of other state of the art black-box classifiers while generating small
interpretable CNF formulas, the runtime performance of MLIC is significantly
lagging and renders approach unusable in practice. In this context, authors
raised the question: Is it possible to achieve the best of both worlds, i.e., a
sound framework for interpretable learning that can take advantage of MaxSAT
solvers while scaling to real-world instances?
  In this paper, we take a step towards answering the above question in
affirmation. We propose IMLI: an incremental approach to MaxSAT based framework
that achieves scalable runtime performance via partition-based training
methodology. Extensive experiments on benchmarks arising from UCI repository
demonstrate that IMLI achieves up to three orders of magnitude runtime
improvement without loss of accuracy and interpretability.
","IMLI: An Incremental Framework for MaxSAT-Based Learning of
  Interpretable Classification Rules",Bishwamittra Ghosh and Kuldeep S. Meel,2019,Artificial Intelligence,
"  This work presents an architecture that generates curiosity-driven
goal-directed exploration behaviours for an image sensor of a microfarming
robot. A combination of deep neural networks for offline unsupervised learning
of low-dimensional features from images, and of online learning of shallow
neural networks representing the inverse and forward kinematics of the system
have been used. The artificial curiosity system assigns interest values to a
set of pre-defined goals, and drives the exploration towards those that are
expected to maximise the learning progress. We propose the integration of an
episodic memory in intrinsic motivation systems to face catastrophic forgetting
issues, typically experienced when performing online updates of artificial
neural networks. Our results show that adopting an episodic memory system not
only prevents the computational models from quickly forgetting knowledge that
has been previously acquired, but also provides new avenues for modulating the
balance between plasticity and stability of the models.
","Intrinsic Motivation and Episodic Memories for Robot Exploration of
  High-Dimensional Sensory Spaces","Guido Schillaci, Antonio Pico Villalpando, Verena Vanessa Hafner,
  Peter Hanappe, David Colliaux, Timoth\'ee Wintz",2020,Artificial Intelligence,
"  Autonomous systems are often required to operate in partially observable
environments. They must reliably execute a specified objective even with
incomplete information about the state of the environment. We propose a
methodology to synthesize policies that satisfy a linear temporal logic formula
in a partially observable Markov decision process (POMDP). By formulating a
planning problem, we show how to use point-based value iteration methods to
efficiently approximate the maximum probability of satisfying a desired logical
formula and compute the associated belief state policy. We demonstrate that our
method scales to large POMDP domains and provides strong bounds on the
performance of the resulting policy.
","Point-Based Methods for Model Checking in Partially Observable Markov
  Decision Processes","Maxime Bouton, Jana Tumova, and Mykel J. Kochenderfer",2020,Artificial Intelligence,
"  In this paper, we present a visual emulator of the emotions seen in
characters in stories. This system is based on a simplified view of the
cognitive structure of emotions proposed by Ortony, Clore and Collins (OCC
Model). The goal of this paper is to provide a visual platform that allows us
to observe changes in the characters' different emotions, and the intricate
interrelationships between: 1) each character's emotions, 2) their affective
relationships and actions, 3) The events that take place in the development of
a plot, and 4) the objects of desire that make up the emotional map of any
story. This tool was tested on stories with a contrasting variety of emotional
and affective environments: Othello, Twilight, and Harry Potter, behaving
sensibly and in keeping with the atmosphere in which the characters were
immersed.
",Visual Simplified Characters' Emotion Emulator Implementing OCC Model,"Ana Lilia Laureano-Cruces, Laura Hern\'andez-Dom\'inguez, Martha
  Mora-Torres, Juan-Manuel Torres-Moreno, Jaime Enrique Cabrera-L\'opez",2011,Artificial Intelligence,
"  Explaining sophisticated machine-learning based systems is an important issue
at the foundations of AI. Recent efforts have shown various methods for
providing explanations. These approaches can be broadly divided into two
schools: those that provide a local and human interpreatable approximation of a
machine learning algorithm, and logical approaches that exactly characterise
one aspect of the decision. In this paper we focus upon the second school of
exact explanations with a rigorous logical foundation. There is an
epistemological problem with these exact methods. While they can furnish
complete explanations, such explanations may be too complex for humans to
understand or even to write down in human readable form. Interpretability
requires epistemically accessible explanations, explanations humans can grasp.
Yet what is a sufficiently complete epistemically accessible explanation still
needs clarification. We do this here in terms of counterfactuals, following
[Wachter et al., 2017]. With counterfactual explanations, many of the
assumptions needed to provide a complete explanation are left implicit. To do
so, counterfactual explanations exploit the properties of a particular data
point or sample, and as such are also local as well as partial explanations. We
explore how to move from local partial explanations to what we call complete
local explanations and then to global ones. But to preserve accessibility we
argue for the need for partiality. This partiality makes it possible to hide
explicit biases present in the algorithm that may be injurious or unfair.We
investigate how easy it is to uncover these biases in providing complete and
fair explanations by exploiting the structure of the set of counterfactuals
providing a complete local explanation.
",Adequate and fair explanations,"Nicholas Asher, Soumya Paul, Chris Russell",2021,Artificial Intelligence,
"  Automated decision making based on big data and machine learning (ML)
algorithms can result in discriminatory decisions against certain protected
groups defined upon personal data like gender, race, sexual orientation etc.
Such algorithms designed to discover patterns in big data might not only pick
up any encoded societal biases in the training data, but even worse, they might
reinforce such biases resulting in more severe discrimination. The majority of
thus far proposed fairness-aware machine learning approaches focus solely on
the pre-, in- or post-processing steps of the machine learning process, that
is, input data, learning algorithms or derived models, respectively. However,
the fairness problem cannot be isolated to a single step of the ML process.
Rather, discrimination is often a result of complex interactions between big
data and algorithms, and therefore, a more holistic approach is required. The
proposed FAE (Fairness-Aware Ensemble) framework combines fairness-related
interventions at both pre- and postprocessing steps of the data analysis
process. In the preprocessing step, we tackle the problems of
under-representation of the protected group (group imbalance) and of
class-imbalance by generating balanced training samples. In the post-processing
step, we tackle the problem of class overlapping by shifting the decision
boundary in the direction of fairness.
",FAE: A Fairness-Aware Ensemble Framework,"Vasileios Iosifidis, Besnik Fetahu, Eirini Ntoutsi",2019,Artificial Intelligence,
"  Task-allocation is an important problem in multi-agent systems. It becomes
more challenging when the team-members are humans with imperfect knowledge
about their teammates' costs and the overall performance metric. While
distributed task-allocation methods let the team-members engage in iterative
dialog to reach a consensus, the process can take a considerable amount of time
and communication. On the other hand, a centralized method that simply outputs
an allocation may result in discontented human team-members who, due to their
imperfect knowledge and limited computation capabilities, perceive the
allocation to be unfair. To address these challenges, we propose a centralized
Artificial Intelligence Task Allocation (AITA) that simulates a negotiation and
produces a negotiation-aware task allocation that is fair. If a team-member is
unhappy with the proposed allocation, we allow them to question the proposed
allocation using a counterfactual. By using parts of the simulated negotiation,
we are able to provide contrastive explanations that providing minimum
information about other's costs to refute their foil. With human studies, we
show that (1) the allocation proposed using our method does indeed appear fair
to the majority, and (2) when a counterfactual is raised, explanations
generated are easy to comprehend and convincing. Finally, we empirically study
the effect of different kinds of incompleteness on the explanation-length and
find that underestimation of a teammate's costs often increases it.
","`Why didn't you allocate this task to them?' Negotiation-Aware Task
  Allocation and Contrastive Explanation Generation","Zahra Zahedi, Sailik Sengupta, Subbarao Kambhampati",2020,Artificial Intelligence,
"  Monte-Carlo Tree Search (MCTS) is one of the most-widely used methods for
planning, and has powered many recent advances in artificial intelligence. In
MCTS, one typically performs computations (i.e., simulations) to collect
statistics about the possible future consequences of actions, and then chooses
accordingly. Many popular MCTS methods such as UCT and its variants decide
which computations to perform by trading-off exploration and exploitation. In
this work, we take a more direct approach, and explicitly quantify the value of
a computation based on its expected impact on the quality of the action
eventually chosen. Our approach goes beyond the ""myopic"" limitations of
existing computation-value-based methods in two senses: (I) we are able to
account for the impact of non-immediate (ie, future) computations (II) on
non-immediate actions. We show that policies that greedily optimize computation
values are optimal under certain assumptions and obtain results that are
competitive with the state-of-the-art.
",Static and Dynamic Values of Computation in MCTS,Eren Sezener and Peter Dayan,2020,Artificial Intelligence,
"  Developmental machine learning studies how artificial agents can model the
way children learn open-ended repertoires of skills. Such agents need to create
and represent goals, select which ones to pursue and learn to achieve them.
Recent approaches have considered goal spaces that were either fixed and
hand-defined or learned using generative models of states. This limited agents
to sample goals within the distribution of known effects. We argue that the
ability to imagine out-of-distribution goals is key to enable creative
discoveries and open-ended learning. Children do so by leveraging the
compositionality of language as a tool to imagine descriptions of outcomes they
never experienced before, targeting them as goals during play. We introduce
IMAGINE, an intrinsically motivated deep reinforcement learning architecture
that models this ability. Such imaginative agents, like children, benefit from
the guidance of a social peer who provides language descriptions. To take
advantage of goal imagination, agents must be able to leverage these
descriptions to interpret their imagined out-of-distribution goals. This
generalization is made possible by modularity: a decomposition between learned
goal-achievement reward function and policy relying on deep sets, gated
attention and object-centered representations. We introduce the Playground
environment and study how this form of goal imagination improves generalization
and exploration over agents lacking this capacity. In addition, we identify the
properties of goal imagination that enable these results and study the impacts
of modularity and social interactions.
","Language as a Cognitive Tool to Imagine Goals in Curiosity-Driven
  Exploration","C\'edric Colas, Tristan Karch, Nicolas Lair, Jean-Michel Dussoux,
  Cl\'ement Moulin-Frier, Peter Ford Dominey, Pierre-Yves Oudeyer",2020,Artificial Intelligence,
